school918;	Sterling College
school919;	Our Lady of the Lake University
school920;	Flagler College
school921;	New Mexico Institute of Mining and Technology
school922;	Southern Utah University
school923;	San Diego Christian College
school924;	Mayville State University
school925;	Ottawa University
school926;	Oregon State University
school927;	South Dakota School of Mines and Technology
school928;	University of Alaska Southeast
school929;	Central Washington University
school930;	Wayne State College
school931;	George Fox University
school932;	California Lutheran University
school933;	Portland State University
school934;	Dakota State University
school935;	Earlham College
school936;	Kansas Wesleyan University
school937;	Prairie View A University
school938;	LeTourneau University
school939;	Corban University
school940;	University of Kansas
school941;	Illinois Wesleyan University
school942;	Grand View University
school943;	University of Florida
school944;	Eastern Kentucky University
school945;	Muskingum University
school946;	Stillman College
school947;	D'Youville College
school948;	Maryville University of Saint Louis
school949;	West Texas A University
school950;	College of Mount St. Joseph
school951;	Marygrove College
school952;	Sam Houston State University
school953;	Hannibal-LaGrange University
school954;	East Texas Baptist University
school955;	Northeastern Illinois University
school956;	San Diego State University
school957;	University of Mary
school958;	Eastern Michigan University
school959;	Judson University
school960;	Principia College
school961;	Minnesota State University Moorhead
school962;	Heidelberg University
school963;	University of Evansville
school964;	National Louis University
school965;	Eureka College
school966;	Case Western Reserve University
school967;	Calvary Bible College and Theological Seminary
school968;	University of Michigan - Flint
school969;	California State University Dominguez Hills
school970;	Johnson C. Smith University
school971;	Rollins College
school972;	Mississippi University for Women
school973;	Delaware Valley College
school974;	Georgia College and State University
school975;	University of Georgia
school976;	St. Norbert College
school977;	Lewis University
school978;	St. Ambrose University
school979;	Pfeiffer University
school980;	University of Illinois at Chicago
school981;	Missouri Western State University
school982;	University of Illinois at Urbana-Champaign
school983;	Brigham Young University - Hawaii
school984;	California College of the Arts
school985;	North Park University
school986;	Missouri Baptist University
school987;	University of Mount Union
school988;	Missouri Valley College
school989;	Miami University
school990;	University of Minnesota, Duluth
school991;	University of Minnesota, Twin Cities
school992;	Ashford University
school993;	MacMurray College
school994;	Minnesota State University Mankato
school995;	Malone University
school996;	Maharishi University of Management
school997;	Grinnell College
school998;	Greenville College
school999;	Indiana University Northwest
school1000;	Illinois College
school1001;	Indiana University Southeast
school1002;	Hamline University
school1003;	Lincoln University
school1004;	Illinois Institute of Technology
school1005;	Edgewood College
school1006;	Indiana University - Purdue University Indianapolis
school1007;	Harris-Stowe State University
school1008;	Ohio Dominican University
school1009;	Loras College
school1010;	Juilliard School
school1011;	Nichols College
school1012;	Kean University
school1013;	Ithaca College
school1014;	Eugene Lang College The New School for Liberal Arts
school1015;	Lyndon State College
school1016;	Keene State College
school1017;	Graceland University
school1018;	Keuka College
school1019;	Ferris State University
school1020;	Evangel University
school1021;	Elizabeth City State University
school1022;	Haverford College
school1023;	Johnson State College
school1024;	Howard University
school1025;	Western New Mexico University
school1026;	Duke University
school1027;	Fort Valley State University
school1028;	East Carolina University
school1029;	Eastern Mennonite University
school1030;	Hampton University
school1031;	Faulkner University
school1032;	Grambling State University
school1033;	Florida Memorial University
school1034;	Goldey-Beacom College
school1035;	Harding University
school1036;	Fayetteville State University
school1037;	Florida Agricultural and Mechanical University
school1038;	George Mason University
school1039;	Emory University
school1040;	Florida Southern College
school1041;	Guilford College
school1042;	New York Institute of Technology
school1043;	Freed-Hardeman University
school1044;	Gallaudet University
school1045;	University of New Mexico
school1046;	Louisiana State University
school1047;	University of Miami
school1048;	Jackson State University
school1050;	Kentucky State University
school1051;	Lane College
school1052;	University of Maryland Baltimore County
school1053;	Livingstone College
school1054;	Morris College
school1055;	Maryland Institute College of Art
school1056;	Milligan College
school1057;	Mississippi Valley State University
school1058;	Millsaps College
school1059;	Mount St. Mary's University
school1060;	Maryville College
school1061;	Rowan University
school1062;	Mississippi College
school1063;	University of Montevallo
school1065;	Oral Roberts University
school1066;	Goddard College
school1067;	University of Nebraska - Kearney
school1068;	California Institute of the Arts
school1069;	Brigham Young University
school1071;	Mercer University
school1073;	California State University Stanislaus
school1074;	Baylor University
school1075;	Southern University at New Orleans
school1076;	California State University San Bernardino
school1077;	Spalding University
school1078;	California State Polytechnic University, Pomona
school1079;	Norfolk State University
school1080;	California State University Los Angeles
school1081;	Felician College
school1082;	Boise State University
school1083;	California State University Chico
school1084;	Benedictine College
school1085;	Nicholls State University
school1086;	University of Louisiana at Lafayette
school1087;	Southern University and Agricultural and Mechanical College
school1088;	Meredith College
school1089;	Fairleigh Dickinson University - Metropolitan Campus
school1090;	University of California, Berkeley
school1091;	University of California, San Diego
school1092;	North Carolina Central University
school1093;	University of California, Los Angeles
school1094;	New Mexico State University
school1095;	Curry College
school1096;	Arizona State University
school1097;	Lubbock Christian University
school1098;	Dallas Baptist University
school1099;	Idaho State University
school1100;	University of Hawaii at Manoa
school1101;	Hastings College
school1102;	University of Houston - Clear Lake
school1103;	Huston-Tillotson University
school1104;	University of Hawaii at Hilo
school1105;	Howard Payne University
school1106;	Lamar University
school1107;	John F. Kennedy University
school1108;	Colorado Mesa University
school1110;	MidAmerica Nazarene University
school1111;	University of Nebraska - Lincoln
school1112;	Langston University
school1113;	Hope International University
school1114;	Northern Arizona University
school1115;	Mills College
school1116;	Minot State University
school1117;	Mount St. Mary's College
school1118;	Nebraska Wesleyan University
school1119;	National University
school1120;	Northern State University
school1121;	Pepperdine University
school1122;	University of Northern Colorado
school1123;	Montana State University - Northern
school1124;	Peru State College
school1125;	University of Redlands
school1126;	Northwest Nazarene University
school1127;	Pacific Union College
school1128;	Pitzer College
school1129;	Occidental College
school1130;	San Francisco Art Institute
school1131;	St. John's College
school1132;	Seattle Pacific University
school1133;	Samuel Merritt University
school1134;	University of San Francisco
school1135;	Tarleton State University
school1136;	University of South Dakota
school1137;	Vanguard University of Southern California
school1138;	University of Southern California
school1139;	Texas Southern University
school1140;	Woodbury University
school1141;	Texas Woman's University
school1142;	Whittier College
school1143;	Southwestern College
school1144;	Colorado State University - Pueblo
school1145;	Utah State University
school1146;	Westminster College
school1147;	Southern Methodist University
school1148;	Fordham University
school1149;	Baruch College (City University of New York)
school1150;	Concordia College New York
school1151;	Lehman College (City University of New York)
school1152;	Wichita State University
school1153;	Covenant College
